price,number_of_units,total_area,number_of_stories,lot_size,age
4250000,55,0.8,2,0.74,69
3150000,86,1.59,2,4.13,48
11662500,69,1.78,2,28.02,6
6800000,26,0.48,2,1.23,5
3735000,23,0.4,1,2.18,58
3000000,28,0.53,1,2.28,51
4025000,54,0.95,1,4.03,57
3300000,56,0.96,2,1.33,59
10950000,236,2.86,2,4.49,37
4500000,79,0.42,1,4.98,57
3425000,30,0.51,2,89.89,82
6500000,65,1.12,2,50,52
3835000,55,1.21,2,1.95,59
20950000,312,6.43,2,16.8,32
4000000,103,3.68,7,0.64,5
5850000,48,0.38,1,2.11,72
8950000,86,1.65,2,4.7,51
6840000,94,1.98,2,3.46,37
15000000,40,0.68,2,1.09,54
7989000,17,0.32,3,0.4,8
4200000,16,0.16,4,0.05,100
7850000,40,0.59,4,0.22,95
7300000,40,0.64,2,1.3,48
12295000,84,2.16,2,5.42,38
3850000,11,0.23,2,0.25,67
3440000,172,4.71,3,8.14,5
3499000,7,0.2,2,0.15,49
3495000,12,0.22,3,0.14,52
3700000,8,0.17,2,0.33,59
11000000,12,0.45,4,0.18,17
3300000,17,0.3,2,0.21,53
4000000,4,0.13,2,0.15,83
4350000,14,0.37,3,0.28,9
9000000,20,0.4,3,0.31,58
3000000,34,0.24,2,0.53,93
4500000,18,0.26,3,0.26,34
3000000,8,0.14,2,0.34,68
15550000,71,1.23,2,2.09,57
8500000,47,0.75,3,1.6,33
3150000,5,0.11,2,0.17,59
9500000,52,0.91,2,1.53,58
11400000,44,0.76,3,0.78,51
13600000,30,0.54,4,0.3,35
4500000,17,0.43,2,0.48,52
4800000,27,0.28,2,0.23,55
3600000,62,1.05,2,2.47,50
8100000,48,0.62,4,0.21,93
6900000,41,0.92,2,1.51,50
6125000,9,0.31,3,0.14,33
8300000,30,0.48,3,0.49,36
4500000,19,0.42,2,0.35,59
9800000,31,0.37,2,0.3,93
12500000,96,1.33,2,3.28,47
14950000,70,1.1,2,2.65,67
6195000,18,0.36,2,0.92,57
20750000,45,0.97,3,0.49,38
5550000,12,0.25,2,0.49,59
3300000,12,0.17,2,0.19,59
10950000,34,0.75,3,0.42,51
5992000,9,0.19,2,0.19,113
8995000,48,0.89,3,0.52,10
11300000,54,1.02,2,2.81,69
9600000,48,0.72,4,0.29,108
3300000,9,0.16,2,0.17,58
9950000,10,0.29,3,0.48,84
15995000,200,3.31,2,8.87,49
4950000,31,0.35,3,0.17,97
3295000,24,0.35,3,0.16,99
3675000,12,0.28,3,0.26,32
3599000,14,0.27,1,0.42,57
10375000,34,0.48,2,0.43,64
7050000,33,0.69,2,0.78,58
3000000,40,0.58,2,1.15,54
11000000,58,0.69,2,0.68,56
3500000,30,0.05,3,0.07,122
3375000,9,0.18,2,0.16,54
24000000,18,0.62,4,0.23,5
4500000,16,0.27,2,0.32,59
5975000,13,0.24,3,0.48,5
4200000,7,0.13,2,0.17,74
7700000,22,0.48,2,0.96,59
4875000,15,0.27,2,0.37,69
3360000,12,0.15,2,0.22,57
3900000,18,0.25,1,0.85,71
3100000,8,0.08,2,0.14,72
3260600,17,0.24,3,0.35,74
9844000,46,1.19,3,1.78,5
4939411,23,0.41,3,0.43,73
3485000,17,0.21,3,0.14,54
4400000,26,0.4,3,0.9,61
6950000,40,0.5,3,0.34,55
7250000,43,0.52,2,0.45,94
3000000,8,0.23,4,0.14,5
3365000,52,0.82,3,11.6,53
1195000,19,0.28,2,0.55,67
3999999,20,0.36,2,0.5,84
560000,4,0.05,1,0.15,65
8950000,83,1.18,2,1.99,59
3100000,15,0.35,4,0.17,45
990000,8,0.14,1,0.74,43
9200000,42,0.98,4,0.34,53
690000,3,0.09,1,0.41,100
1690000,26,0.37,2,0.45,98
725000,4,0.06,2,0.11,48
1125000,9,0.16,1,1.02,46
370700,11,0.23,1,1.48,42
4495000,16,0.31,2,0.34,71
1800000,8,0.1,2,0.18,84
3750000,41,0.62,1,4.8,37
124900,2,0.06,2,0.36,75
247000,5,0.08,2,0.12,111
850000,4,0.16,2,0.38,19
3500000,37,1.12,2,1.06,51
349900,6,0.06,1,0.17,88
800000,7,0.18,2,0.23,38
79900,2,0.04,1,0.2,42
6630000,102,1.49,2,6.7,46
750000,9,0.25,1,0.69,35
2800000,16,0.23,2,0.37,97
22000000,17,0.84,3,0.74,57
3700000,34,1.2,2,2.81,16
4200000,14,0.18,3,0.19,61
4635000,3,0.15,2,0.34,105
4600000,16,0.28,4,0.1,56
5404708,36,0.92,3,2.93,9
16000000,120,3.29,3,6.29,6
35000000,190,4.53,3,9.5,7
6500000,88,1.17,2,2.99,42
14900000,112,2.6,3,7.79,9
8500000,108,2.56,3,4,25
3500000,101,1.11,11,1.12,52
24960000,192,4.48,4,10.78,51
4500000,77,1.49,2,4.49,25
8950000,118,1.82,2,5.36,60
3650000,16,0.24,6,0.09,97
7250000,126,1.87,5,0.55,72
4500000,60,1.57,2,0,29
11750000,210,4.42,2,14.36,52
8200000,192,3.97,2,15.5,40
17495000,202,4.35,3,16.19,23
6800000,252,4.12,2,10.18,77
